Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,G. quota,Perdita quota,Lunghezza media passo,Media rapporto verticale,Media oscillazione verticale,Tempo medio di contatto con il suolo,Media bilanciamento TCS,Cadenza di corsa media,Cadenza di corsa max,Normalized Power® (NP®),Training Stress Score®,Potenza media massima (20 min),Potenza media,Potenza max,Grit,Flow,Totale bracciate,Swolf medio,Frequenza media vogate,Tempo sul fondale,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max
Ciclismo virtuale,2020-04-19 09:52:43,false,"Zwift - 2x20 FTP Intervals","31.28","1,016","01:30:20","--","--","0.0","--","--","20.8","78.3","1,059","--","0.00","0.0","0.0","--","--","73","126","233","0.0","275","196","283","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:00.00","7","0.0"
Ciclismo virtuale,2020-04-17 14:43:03,false,"Zwift - Innsbruck","31.05","835","01:00:05","--","--","0.0","--","--","31.0","84.4","531","--","0.00","0.0","0.0","--","--","64","82","257","0.0","288","242","418","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Ciclismo virtuale,2020-04-16 17:08:48,false,"Zwift - Watopia","30.45","887","01:00:22","--","--","0.0","--","--","30.3","75.8","581","--","0.00","0.0","0.0","--","--","71","90","264","0.0","290","254","393","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Corsa,2020-04-15 17:27:34,false,"Gazzaniga Corsa","5.01","406","00:27:38","157","184","3.6","156","245","5:31","4:09","238","235","1.16","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","20.0","0:00","No","00:01.60","6","0.0"
Ciclismo virtuale,2020-04-14 10:29:09,false,"Zwift - The Gorby","33.62","783","01:01:04","--","--","0.0","--","--","33.0","69.7","262","--","0.00","0.0","0.0","--","--","73","104","251","0.0","243","224","313","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:16.00","12","0.0"
Ciclismo virtuale,2020-04-12 14:46:04,false,"Zwift - Watopia","16.36","885","01:00:32","--","--","0.0","--","--","16.2","51.8","940","--","0.00","0.0","0.0","--","--","55","120","268","0.0","289","258","374","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Ciclismo virtuale,2020-04-11 10:59:58,false,"Zwift - Federico Bassis _ SST's Meetup - The Pretzel","74.06","2,076","02:16:48","--","--","0.0","--","--","32.5","88.6","1,365","--","0.00","0.0","0.0","--","--","64","131","270","0.0","290","264","492","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Ciclismo virtuale,2020-04-11 10:50:34,false,"Zwift - Watopia","2.09","27","00:04:29","--","--","0.0","--","--","28.0","34.0","4","--","0.00","0.0","0.0","--","--","73","82","106","0.0","--","106","121","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Ciclismo virtuale,2020-04-10 18:29:58,false,"Zwift - Federico Bassis _ SST's Meetup - Out And Back Again","41.26","1,043","01:04:44","--","--","0.0","--","--","38.2","67.2","333","--","0.00","0.0","0.0","--","--","74","92","288","0.0","302","281","432","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Ciclismo virtuale,2020-04-09 16:47:11,false,"Zwift - Watopia","37.63","885","01:02:22","--","--","0.0","--","--","36.2","64.5","315","--","0.00","0.0","0.0","--","--","70","112","265","0.0","273","247","618","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Ciclismo virtuale,2020-04-06 14:20:12,false,"Zwift - The McCarthy Special","41.12","1,027","01:20:04","--","--","0.0","--","--","30.8","73.9","678","--","0.00","0.0","0.0","--","--","76","117","256","0.0","242","224","379","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:12.100","19","0.0"
Corsa,2020-04-05 15:30:11,false,"Gazzaniga Corsa","5.00","494","00:30:30","170","185","3.9","152","176","6:06","3:50","164","160","1.08","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","25.0","0:00","No","00:01.02","6","0.0"
Corsa,2020-04-05 14:22:26,false,"Gazzaniga Corsa","5.01","430","00:28:49","157","182","3.4","159","206","5:45","4:34","227","241","1.09","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","00:01.64","6","0.0"
Ciclismo virtuale,2020-04-04 14:28:53,false,"Zwift - Watopia","52.96","1,348","01:34:33","--","--","0.0","--","--","33.6","70.0","582","--","0.00","0.0","0.0","--","--","62","91","263","0.0","271","248","623","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Corsa,2020-04-03 14:12:23,false,"Gazzaniga Corsa","5.00","468","00:30:25","159","183","3.4","154","195","6:05","3:38","186","171","1.07","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","00:01.21","6","0.0"
Ciclismo virtuale,2020-03-27 15:03:23,false,"Zwift - London","55.08","1,368","01:30:36","--","--","0.0","--","--","36.5","81.6","476","--","0.00","0.0","0.0","--","--","63","111","267","0.0","279","263","472","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Ciclismo virtuale,2020-03-26 18:00:09,false,"Zwift - Watopia","40.31","952","01:05:37","--","--","0.0","--","--","36.9","65.5","328","--","0.00","0.0","0.0","--","--","69","135","269","0.0","276","252","591","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Ciclismo virtuale,2020-03-24 17:19:36,false,"Zwift - Watopia","32.82","966","01:04:46","--","--","0.0","--","--","30.4","87.3","691","--","0.00","0.0","0.0","--","--","67","97","269","0.0","297","260","426","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Corsa,2020-03-22 14:49:40,false,"Gazzaniga Corsa","10.01","1,039","01:03:01","168","180","4.4","160","256","6:18","4:00","493","500","1.01","9.7","10.0","286","51.0% S / 49.0% D","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","16.0","0:00","No","00:02.36","11","0.0"
Ciclismo indoor,2020-03-20 14:50:37,false,"Ciclismo indoor","37.33","796","01:00:00","161","181","3.7","--","--","37.3","41.8","--","--","0.00","0.0","0.0","--","--","81","100","233","93.1","252","222","282","0.0","0.0","4906","--","--","0:00","21.0","0:00","No","04:42.71","8","0.0"
Ciclismo indoor,2020-03-20 13:35:54,false,"Ciclismo indoor","0.00","610","00:45:53","146","170","3.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","19.0","0:00","No","00:00.00","1","0.0"
Corsa,2020-03-18 17:00:30,false,"Gazzaniga Corsa","14.64","978","01:17:04","146","185","3.1","160","219","5:16","3:46","484","445","1.19","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","16.0","0:00","No","03:48.64","15","0.0"
Ciclismo indoor,2020-03-17 16:52:20,false,"Ciclismo indoor","0.00","900","01:05:01","147","164","3.3","--","--","--","--","--","--","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","13.0","0:00","No","00:00.00","1","0.0"
Corsa,2020-03-16 17:05:39,false,"Gazzaniga Corsa","5.25","454","01:08:19","108","156","1.0","96","224","13:00","5:17","404","408","0.80","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","17.0","0:00","No","03:21.15","6","0.0"
Corsa,2020-03-15 15:02:58,false,"Gazzaniga Corsa","8.49","657","00:43:09","157","183","3.7","161","183","5:05","3:41","303","267","1.22","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","15.0","0:00","No","02:49.23","9","0.0"
Corsa,2020-03-11 17:11:12,false,"Gazzaniga Corsa","10.50","753","00:56:56","146","179","3.1","156","248","5:25","3:56","357","298","1.18","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","19.0","0:00","No","02:40.85","11","0.0"
Ciclismo,2020-03-08 08:37:20,false,"Gazzaniga Ciclismo","74.86","2,416","03:29:53","144","181","3.3","--","--","21.4","56.4","2,039","2,011","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","11.0","0:00","No","07:15.35","15","0.0"
